Model,Accuracy,AUC-ROC,F1 Score,CV AUC (5-fold)
Logistic Regression,0.9649122807017544,0.996031746031746,0.9512195121951219,0.9957688338493291
Gradient Boosting,0.9649122807017544,0.9947089947089948,0.95,0.9908152734778122
SVM (RBF),0.9736842105263158,0.9947089947089947,0.9629629629629629,0.9948400412796697
Random Forest,0.9649122807017544,0.994212962962963,0.95,0.9888544891640866
